name,type
Tiffany Alley,Interceptor
Eaton Crossroad,Interceptor
Heather Cliffs,Interceptor
Kevin Pines,Interceptor
Rogers Lane,Interceptor
Brad Burgs,Interceptor
Jamie Lodge,Interceptor
Johnson Curve,Interceptor
Paul Plaza,Interceptor
Hooper Drives,Interceptor
Lori Crest,Interceptor
Amy Junction,Interceptor
Palmer Oval,Interceptor
Michael Streets,Interceptor
Brown Point,Interceptor
Rivera Shore,Interceptor
Hickman Islands,Interceptor
Ewing Port,Interceptor
Powell Streets,Interceptor
Buckley Fields,Interceptor
Alex Dale,Interceptor
Holder Ranch,Interceptor
Jordan Locks,Interceptor
Jennifer Heights,Interceptor
Andrew Shores,Interceptor
Cardenas Throughway,Interceptor
Garcia Creek,Interceptor
Teresa Vista,Interceptor
Frank Causeway,Interceptor
Julia Fords,Interceptor
Daniel Circle,Interceptor
Lambert Underpass,Interceptor
Hawkins Stream,Interceptor
Leon Passage,Interceptor
Boone Prairie,Interceptor
Miller Prairie,Interceptor
John Harbors,Interceptor
Wiley Falls,Interceptor
Barbara Park,Interceptor
Carter Road,Interceptor
Francis Square,Interceptor
Brown Isle,Interceptor
Vazquez Stravenue,Interceptor
Bass Junction,Interceptor
Brown Gateway,Interceptor
Gloria Stravenue,Interceptor
Nicholas Inlet,Interceptor
Fields Stravenue,Interceptor
Daugherty Brooks,Interceptor
Nelson Land,Interceptor
Henry Key,Interceptor
Allison Terrace,Interceptor
Carolyn Pines,Interceptor
Nixon Parkways,Interceptor
Orozco Corners,Interceptor
Michelle Lake,Interceptor
Crystal Knoll,Interceptor
Leblanc Spur,Interceptor
Wood Dale,Interceptor
Daniels Point,Interceptor
Hernandez Vista,Interceptor
Joe Club,Interceptor
Paula Track,Interceptor
Alex Plain,Interceptor
Todd Mountains,Interceptor
Robertson Prairie,Interceptor
Thornton Spur,Interceptor
Michael Street,Interceptor
Catherine Pike,Interceptor
David Forge,Interceptor
Michelle Oval,Interceptor
Candice Spurs,Interceptor
Dudley Center,Interceptor
Riley Tunnel,Interceptor
Melissa Cliffs,Interceptor
Weber Land,Interceptor
Johnson Well,Interceptor
Hernandez Centers,Interceptor
Taylor Summit,Interceptor
Elliott Prairie,Interceptor
Erin Island,Interceptor
David Stravenue,Interceptor
Mark Lights,Interceptor
Adrienne Ranch,Interceptor
Andrew Cliffs,Interceptor
Brandon Bridge,Interceptor
Amber Run,Interceptor
Joshua Flat,Interceptor
James Motorway,Interceptor
David Lodge,Interceptor
Valdez Plain,Interceptor
Brandon Circles,Interceptor
Larry Land,Interceptor
Herrera Station,Interceptor
Sheila Plaza,Interceptor
Kennedy Rapid,Interceptor
Vega Ferry,Interceptor
Pearson Hill,Interceptor
Denise Oval,Interceptor
Flores Bypass,Interceptor
