place_name,place_type,latitude,longitude,type
Craig Group,museum,-9.6893795,8.468375,Place
Rogers Inc,park,-45.1365155,-169.127483,Place
Huffman-Diaz,restaurant,68.0310855,-178.863272,Place
Sanders Inc,shop,-13.124585,156.533149,Place
Carter Group,restaurant,-40.971146,167.288384,Place
Jones-Mendez,shop,-51.3038425,-28.097520,Place
Erickson Inc,museum,-69.1964985,154.836151,Place
Potter LLC,museum,39.7941675,-167.507218,Place
Manning-Cook,restaurant,-58.1218125,81.213051,Place
"Kelley, Mejia and Li",shop,-52.474938,72.959286,Place
Gonzalez-Huff,shop,-37.610650,70.842938,Place
Anderson-Owen,restaurant,2.9665765,144.627809,Place
Harris Ltd,museum,-36.336975,-143.756028,Place
"Flores, Carrillo and Carter",museum,-65.598708,-13.265062,Place
Ramos-Sherman,restaurant,-44.0150595,92.318653,Place
Hensley PLC,park,52.3382205,-79.138014,Place
"Donaldson, Hubbard and Osborne",museum,87.637048,-171.891801,Place
Lawrence PLC,museum,-47.1645995,-122.964774,Place
Ward LLC,shop,-34.786525,-80.784406,Place
"Alexander, Nelson and Smith",shop,-15.362196,88.477653,Place
Jackson PLC,shop,86.6195665,-140.039150,Place
Clark Inc,shop,12.447209,-53.518721,Place
"Cunningham, Horne and Collins",park,26.861418,-57.642707,Place
Hendricks-Torres,park,14.287888,164.727354,Place
Clark-Edwards,park,-83.2890335,-123.058624,Place
"Rogers, Clark and Williams",shop,31.831873,95.115458,Place
Ramirez and Sons,shop,50.5852995,-77.884051,Place
"Arnold, Perkins and Walker",restaurant,-89.9333875,7.028047,Place
Long LLC,museum,-41.2673955,101.396924,Place
Snyder and Sons,restaurant,28.6598465,-114.980922,Place
"Galvan, Navarro and Neal",shop,65.955389,178.837826,Place
Vaughan PLC,shop,4.388892,-54.041176,Place
"Floyd, Jones and Chung",shop,-52.5202415,-17.342310,Place
Ramirez-Jensen,park,-79.8302965,-60.536681,Place
Jackson-Horton,museum,-86.378283,101.775755,Place
Shields-Anderson,museum,0.753714,-150.701240,Place
"Cummings, Johnson and Matthews",museum,21.9228025,83.656896,Place
"Jones, Davis and Higgins",museum,-3.6995065,-82.439894,Place
"Chapman, Tran and King",shop,-84.895707,-18.311708,Place
"Goodwin, Hopkins and Frye",shop,17.084820,57.045429,Place
Roberson PLC,restaurant,40.378104,-19.141349,Place
"Odonnell, Lopez and Bowman",museum,-67.641334,125.802515,Place
Marshall PLC,park,-49.832772,161.267583,Place
Ryan and Sons,restaurant,85.292126,160.793061,Place
Brooks LLC,museum,-83.127478,68.988539,Place
"Richardson, Cook and Ramirez",shop,2.9459905,60.054799,Place
"Long, Vaughan and Fisher",park,-69.9028835,173.369442,Place
Thornton-Maxwell,restaurant,-34.672218,150.332152,Place
"Mullins, Ward and Hernandez",restaurant,60.6512325,110.095863,Place
Moore-May,restaurant,-88.660320,89.817332,Place
Dominguez-Wallace,restaurant,-87.9421595,114.363688,Place
Gonzales LLC,restaurant,-29.8860505,107.197190,Place
Flores-Martinez,museum,60.149183,-142.462251,Place
Lester Group,park,76.2134845,-30.222732,Place
Sharp-Davis,restaurant,87.9850565,-7.263993,Place
